section     , path                                                                 , lines
backend     , backend/__init__.py                                                  ,     1
backend     , backend/api/__init__.py                                              ,     1
backend     , backend/api/clip_events.py                                           ,    64
backend     , backend/api/error_handlers.py                                        ,   112
backend     , backend/api/routes/__init__.py                                       ,     1
backend     , backend/api/routes/account.py                                        ,    32
backend     , backend/api/routes/auth.py                                           ,   132
backend     , backend/api/routes/clips.py                                          ,  1336
backend     , backend/api/routes/editor.py                                         ,   949
backend     , backend/api/routes/jobs.py                                           ,   492
backend     , backend/api/routes/social.py                                         ,   630
backend     , backend/api/schemas.py                                               ,    12
backend     , backend/api/security.py                                              ,   431
backend     , backend/api/server.py                                                ,   164
backend     , backend/api/upload_validation.py                                     ,    71
backend     , backend/api/websocket.py                                             ,   471
backend     , backend/config.py                                                    ,   201
backend     , backend/core/__init__.py                                             ,    20
backend     , backend/core/clip_events.py                                          ,    53
backend     , backend/core/command_runner.py                                       ,   117
backend     , backend/core/exception_handlers.py                                   ,    81
backend     , backend/core/exceptions.py                                           ,   102
backend     , backend/core/log_sanitizer.py                                        ,    39
backend     , backend/core/media_ops.py                                            ,   489
backend     , backend/core/orchestrator.py                                         ,   378
backend     , backend/core/render_benchmark.py                                     ,   336
backend     , backend/core/render_contracts.py                                     ,    57
backend     , backend/core/render_quality.py                                       ,   259
backend     , backend/core/subtitle_timing.py                                      ,   403
backend     , backend/core/workflow_context.py                                     ,   104
backend     , backend/core/workflow_helpers.py                                     ,  1370
backend     , backend/core/workflow_runtime.py                                     ,   299
backend     , backend/core/workflows.py                                            ,    20
backend     , backend/core/workflows_batch.py                                      ,   110
backend     , backend/core/workflows_manual.py                                     ,   224
backend     , backend/core/workflows_pipeline.py                                   ,   178
backend     , backend/core/workflows_reburn.py                                     ,   144
backend     , backend/main.py                                                      ,    42
backend     , backend/models/__init__.py                                           ,    19
backend     , backend/models/schemas.py                                            ,   221
backend     , backend/runtime_validation.py                                        ,   103
backend     , backend/services/__init__.py                                         ,     1
backend     , backend/services/account_purge.py                                    ,    43
backend     , backend/services/job_state.py                                        ,   213
backend     , backend/services/ownership.py                                        ,   483
backend     , backend/services/social/__init__.py                                  ,    36
